title,subject,type,id,family_name,given_name
Zur Kenntnis des Heidehumus.,Landwirtschaft,Dissertation,12e15d7e-99af-187e-aa87-4e80945ca752,Schlichting,Ernst Oskar
Kupferbindung und -fixierung durch Humusstoffe.,Landwirtschaft,,12e15d7e-99af-187e-aa87-4e80945ca752,Schlichting,Ernst Oskar
Die Reimchronik des Eberhard von Gandersheim. Eine Quellenuntersuchung.,Geschichte,Dissertation,40ea0e4f-c634-348d-a92b-52ef5fb8fdcc,Hasse,Paul Ewald
Zur Sprache Eilhards von Oberg.,Deutsche Philologie,Habilitation,54119d7f-869e-5371-4271-4d4c603ec54f,Cordes,Gerhard Hermann Karl Wilhelm
Schriftwesen und Schriftsprache in Goslar bis zur Aufnahme der neuhochdeutschen Schriftsprache.,Germanistik,Dissertation,54119d7f-869e-5371-4271-4d4c603ec54f,Cordes,Gerhard Hermann Karl Wilhelm
Der Zukunftserfolg : Die Ermittlung der künftigen Unternehmungserfolges und seine Bedeutung für die Bewertung von Indiestrieunternehmen.,Betriebswirtschaftslehre,Dissertation,eddd05a0-3e39-e2ac-3880-4e5609c3d98d,Busse von Colbe,Walther
Die Planung der Betriebsgröße.,Betriebswirtschaftslehre,Habilitation,eddd05a0-3e39-e2ac-3880-4e5609c3d98d,Busse von Colbe,Walther
Das Zwischenurteil im deutschen Zivilprozess.,Rechtswissenschaft,Dissertation,84a50d56-5c4f-6a9f-12d5-4e4a2ffd8f75,Gernhuber,Joachim
,,Habilitation,84a50d56-5c4f-6a9f-12d5-4e4a2ffd8f75,Gernhuber,Joachim
Über Dermoidzysten unter besonderer Berücksichtigung des intrathorakalen Dermoidzystem.,,Dissertation,1b484157-bd27-fd7b-9f8a-4d4c608164a6,Dittrich,Otto
,Dermatologie und Venerologie,Habilitation,1b484157-bd27-fd7b-9f8a-4d4c608164a6,Dittrich,Otto
"Zur Spezifität der Gruber-Vidal-Reaktion bei Typhus, Paratyphus A und B, Ruhr und Fleckfieber mit besonderer Berücksichtigung des Einflusses von Schutzimpfung.",Hygiene und Bakteriologie,,ac304a47-4569-490e-9163-4d4c60178974,Maassen,Willy Johann Friedrich
"Ergebnisse bei Phagocytoseversuchen nach einer neuen Methodik, mit einem Beitrag zum Thema: 'Thrombopoese und Immunität'.",Medizin,Dissertation,ac304a47-4569-490e-9163-4d4c60178974,Maassen,Willy Johann Friedrich
Die hypolimnische Kohlendioxyd-Akkumulation als produktionsbiologischer Indikator.,Limnologie,Habilitation,88b2002f-d825-88b2-f806-4e4d1a018b26,Ohle,Waldemar
Chemische und Physikalische Untersuchungen norddeutscher Seen.,"Limnologie, Chemie, Botanik",,88b2002f-d825-88b2-f806-4e4d1a018b26,Ohle,Waldemar
Die Wirkung ultravioletter Strahlen auf pathogene Schimmelpilze.,Medizin,,64556c35-d591-2486-d050-4e4d192d4376,Lembke,Andreas
Biologische Untersuchungen über Sauermilchquark mit besonderer Berücksichtigung der Oosporagruppe.,Biologie,Dissertation,64556c35-d591-2486-d050-4e4d192d4376,Lembke,Andreas
"Studie über die Beteiligung von Mikroben an Abbauvorgängen, die sich bei der Behandlung von Molkereiabwässern in einer Faulkammeranlage abspielen.",Mikrobiologie,,64556c35-d591-2486-d050-4e4d192d4376,Lembke,Andreas
Südosteuropa. Bau und Entwicklung der Wirtschaft.,Wirtschaftswissenschaften,Habilitation,4aa6c98c-a951-4669-65ff-4d4c6040c354,Gross,Hermann
